seed,condition,zorp_acc,zorp_nll,zorp_brier,zorp_entropy,within_acc,cross_acc,mira_acc,accepted_examples,accept_rate,first_pass_rate,unchecked_pseudo_error,adapter_norm,adapt_wall_seconds
41098,validated_hard,0.25,1.4067341089248657,0.762667356443944,1.3557438850402832,0.28125,0.234375,0.22916666666666666,31,0.6458333333333334,0.3125,,24.151518371823464,100.28638911247253
41098,validated_dream,0.28125,1.3897666931152344,0.7509881032525673,1.3718328475952148,0.3125,0.265625,0.23958333333333334,26,0.5416666666666666,0.1875,,24.221571509723322,92.93479037284851
41098,validated_hard_anchor,0.25,1.3813737630844116,0.7475027710703238,1.3772627115249634,0.28125,0.234375,0.22916666666666666,41,0.8541666666666666,0.1875,,24.14709526702599,97.92334127426147
41195,no_update,0.16666666666666666,1.4258737564086914,0.7705538838615039,1.373052716255188,0.09375,0.203125,0.22916666666666666,0,,,,24.045191009414452,0.0233154296875
41195,replay,0.16666666666666666,1.6457090377807617,0.8986419602587302,1.2357500791549683,0.09375,0.203125,0.22916666666666666,48,,,,24.280477418385235,98.42390751838684
41195,unchecked_hard,0.16666666666666666,1.4589338302612305,0.7867617767156335,1.3530588150024414,0.09375,0.203125,0.21875,48,,,0.7916666666666666,24.13340883268442,98.12320017814636
41195,validated_uniform,0.125,1.4282609224319458,0.7715151166028775,1.3731788396835327,0.0625,0.15625,0.21875,35,0.7291666666666666,0.3333333333333333,,24.1366127948377,99.32910108566284
41195,validated_hard,0.15625,1.5858154296875,0.8409185013971404,1.2943267822265625,0.125,0.171875,0.25,36,0.75,0.3333333333333333,,24.227705356471258,94.80778431892395
41195,validated_dream,0.11458333333333333,1.499192237854004,0.8018142352837999,1.3573578596115112,0.09375,0.125,0.23958333333333334,35,0.7291666666666666,0.3125,,24.248939623320496,88.55756878852844
41195,validated_hard_anchor,0.16666666666666666,1.6138273477554321,0.8598129198102727,1.2618032693862915,0.1875,0.15625,0.2604166666666667,30,0.625,0.125,,24.36980403950414,79.39122605323792
41292,no_update,0.25,1.4066725969314575,0.7603231464327412,1.3727346658706665,0.15625,0.296875,0.25,0,,,,24.008859675646672,0.01578354835510254
41292,replay,0.25,1.4735631942749023,0.8002056615815647,1.304654598236084,0.15625,0.296875,0.2604166666666667,48,,,,24.154508543328625,75.92626333236694
41292,unchecked_hard,0.1875,1.4742732048034668,0.7926132181388699,1.318701982498169,0.15625,0.203125,0.20833333333333334,48,,,0.7708333333333334,24.16255337371037,78.79708695411682
41292,validated_uniform,0.1875,1.598035454750061,0.860921873215133,1.279341459274292,0.1875,0.1875,0.22916666666666666,30,0.625,0.2708333333333333,,24.353987774814055,76.05847144126892
41292,validated_hard,0.20833333333333334,1.5788275003433228,0.8385740142618783,1.2955141067504883,0.21875,0.203125,0.20833333333333334,27,0.5625,0.22916666666666666,,24.257546242997254,78.02697539329529
