seed,experiment,treatment,control,diff
23266,E6_clone_divergence,0.03497516723048473,0.0,0.03497516723048473
23266,E7_observation_x_thought,0.24257425742574257,0.10222222222222223,0.14035203520352035
23266,E8_dream_recombination,1.0,0.0,1.0
23266,E9_lora_validated_internalization,0.9580000042915344,0.6359999775886536,0.32200002670288086
23266,E10_validated_vs_unvalidated,0.9214285612106323,0.7085714340209961,0.21285712718963623
23266,E11_verified_sharpening,0.9800000190734863,0.7275000214576721,0.2524999976158142
23266,E12_anchor_preservation,0.515999972820282,0.3959999978542328,0.1199999749660492
23319,E1_recall_competition,0.3319402200067777,0.11494107054829002,0.2169991494584877
23319,E2_associative_chain,0.6181818181818182,0.03636363636363636,0.5818181818181818
23319,E3_endogenous_transfer,0.175,0.0,0.175
23319,E4_goal_directed,0.3055555555555556,0.05,0.2555555555555556
23319,E5_recursive_strengthening,0.9947457972144554,0.12466380235142976,0.8700819948630256
23319,E6_clone_divergence,0.035508125018539546,0.0,0.035508125018539546
23319,E7_observation_x_thought,0.1711229946524064,0.06451612903225806,0.10660686562014834
23319,E8_dream_recombination,1.0,0.0,1.0
23319,E9_lora_validated_internalization,0.984000027179718,0.7820000052452087,0.20200002193450928
23319,E10_validated_vs_unvalidated,0.8928571343421936,0.5242857336997986,0.368571400642395
23319,E11_verified_sharpening,0.9837499856948853,0.7825000286102295,0.20124995708465576
23319,E12_anchor_preservation,0.9240000247955322,0.9160000085830688,0.008000016212463379
23372,E1_recall_competition,0.3340771143056826,0.10510345874213452,0.2289736555635481
23372,E2_associative_chain,0.5727272727272728,0.013636363636363636,0.5590909090909091
23372,E3_endogenous_transfer,0.30833333333333335,0.0,0.30833333333333335
23372,E4_goal_directed,0.21666666666666667,0.06111111111111111,0.15555555555555556
23372,E5_recursive_strengthening,0.9947591312721472,0.12494281490215761,0.8698163163699896
23372,E6_clone_divergence,0.03656921555027586,0.0,0.03656921555027586
23372,E7_observation_x_thought,0.2100456621004566,0.040160642570281124,0.16988501953017549
23372,E8_dream_recombination,1.0,0.0,1.0
23372,E9_lora_validated_internalization,0.9639999866485596,0.722000002861023,0.24199998378753662
23372,E10_validated_vs_unvalidated,0.9328571557998657,0.7071428298950195,0.2257143259048462
23372,E11_verified_sharpening,0.9825000166893005,0.8212500214576721,0.16124999523162842
23372,E12_anchor_preservation,0.8799999952316284,0.8180000185966492,0.06199997663497925
23425,E1_recall_competition,0.39606396626023194,0.04236774342836021,0.35369622283187174
23425,E2_associative_chain,0.6045454545454545,0.04090909090909091,0.5636363636363636
23425,E3_endogenous_transfer,0.31666666666666665,0.0,0.31666666666666665
23425,E4_goal_directed,0.2722222222222222,0.05555555555555555,0.21666666666666665
23425,E5_recursive_strengthening,0.994723705959429,0.12420426323798356,0.8705194427214455
